Date,Flow,Flag
7/18/1983,355,A
7/19/1983,361,A
7/20/1983,349,A
7/21/1983,366,A
7/22/1983,419,A
7/23/1983,561,A
7/24/1983,475,A
7/25/1983,616,A
7/26/1983,491,A
7/27/1983,464,A
7/28/1983,440,A
7/29/1983,420,A
7/30/1983,420,A
7/31/1983,400,A
8/1/1983,390,A
8/2/1983,380,A
8/3/1983,370,A
8/4/1983,370,A
8/5/1983,380,A
8/6/1983,400,A
8/7/1983,450,A
8/8/1983,420,A
8/9/1983,390,A
8/10/1983,370,A
8/11/1983,350,A
8/12/1983,330,A
8/13/1983,320,A
8/14/1983,310,A
8/15/1983,310,A
8/16/1983,310,A
8/17/1983,310,A
8/18/1983,320,A
8/19/1983,340,A
8/20/1983,350,A
8/21/1983,320,A
8/22/1983,300,A
8/23/1983,300,A
8/24/1983,290,A
8/25/1983,280,A
8/26/1983,270,A
8/27/1983,270,A
8/28/1983,250,A
8/29/1983,230,A
8/30/1983,230,A
8/31/1983,250,A
9/1/1983,240,A
9/2/1983,230,A
9/3/1983,230,A
9/4/1983,230,A
9/5/1983,230,A
9/6/1983,230,A
9/7/1983,230,A
9/8/1983,220,A
9/9/1983,220,A
9/10/1983,210,A
9/11/1983,200,A
9/12/1983,190,A
9/13/1983,190,A
9/14/1983,180,A
9/15/1983,170,A
9/16/1983,166,A
9/17/1983,166,A
9/18/1983,168,A
9/19/1983,170,A
9/20/1983,167,A
9/21/1983,172,A
9/22/1983,174,A
9/23/1983,174,A
9/24/1983,194,A
9/25/1983,201,A
9/26/1983,202,A
9/27/1983,198,A
9/28/1983,194,A
9/29/1983,195,A
9/30/1983,212,A
10/1/1983,263,A
10/2/1983,251,A
10/3/1983,256,A
10/4/1983,252,A
10/5/1983,,
10/6/1983,,
10/7/1983,,
10/8/1983,,
10/9/1983,,
10/10/1983,,
10/11/1983,,
10/12/1983,,
10/13/1983,,
10/14/1983,,
10/15/1983,,
10/16/1983,,
10/17/1983,,
10/18/1983,,
10/19/1983,,
10/20/1983,,
10/21/1983,,
10/22/1983,,
10/23/1983,,
10/24/1983,,
10/25/1983,,
10/26/1983,,
10/27/1983,,
10/28/1983,,
10/29/1983,,
10/30/1983,,
10/31/1983,,
11/1/1983,,
11/2/1983,,
11/3/1983,,
11/4/1983,,
11/5/1983,,
11/6/1983,,
11/7/1983,,
11/8/1983,,
11/9/1983,,
11/10/1983,,
11/11/1983,,
11/12/1983,,
11/13/1983,,
11/14/1983,,
11/15/1983,,
11/16/1983,,
11/17/1983,,
11/18/1983,,
11/19/1983,,
11/20/1983,,
11/21/1983,,
11/22/1983,,
11/23/1983,,
11/24/1983,,
11/25/1983,,
11/26/1983,,
11/27/1983,,
11/28/1983,,
11/29/1983,,
11/30/1983,,
12/1/1983,,
12/2/1983,,
12/3/1983,,
12/4/1983,,
12/5/1983,,
12/6/1983,,
12/7/1983,,
12/8/1983,,
12/9/1983,,
12/10/1983,,
12/11/1983,,
12/12/1983,,
12/13/1983,,
12/14/1983,,
12/15/1983,,
12/16/1983,,
12/17/1983,,
12/18/1983,,
12/19/1983,,
12/20/1983,,
12/21/1983,,
12/22/1983,,
12/23/1983,,
12/24/1983,,
12/25/1983,,
12/26/1983,,
12/27/1983,,
12/28/1983,,
12/29/1983,,
12/30/1983,,
12/31/1983,,
1/1/1984,,
1/2/1984,,
1/3/1984,,
1/4/1984,,
1/5/1984,,
1/6/1984,,
1/7/1984,,
1/8/1984,,
1/9/1984,,
1/10/1984,,
1/11/1984,,
1/12/1984,,
1/13/1984,,
1/14/1984,,
1/15/1984,,
1/16/1984,,
1/17/1984,,
1/18/1984,,
1/19/1984,,
1/20/1984,,
1/21/1984,,
1/22/1984,,
1/23/1984,,
1/24/1984,,
1/25/1984,,
1/26/1984,,
1/27/1984,,
1/28/1984,,
1/29/1984,,
1/30/1984,,
1/31/1984,,
2/1/1984,,
2/2/1984,,
2/3/1984,,
2/4/1984,,
2/5/1984,,
2/6/1984,,
2/7/1984,,
2/8/1984,,
2/9/1984,,
2/10/1984,,
2/11/1984,,
2/12/1984,,
2/13/1984,,
2/14/1984,,
2/15/1984,,
2/16/1984,,
2/17/1984,,
2/18/1984,,
2/19/1984,,
2/20/1984,,
2/21/1984,,
2/22/1984,,
2/23/1984,,
2/24/1984,,
2/25/1984,,
2/26/1984,,
2/27/1984,,
2/28/1984,,
2/29/1984,,
3/1/1984,,
3/2/1984,,
3/3/1984,,
3/4/1984,,
3/5/1984,,
3/6/1984,,
3/7/1984,,
3/8/1984,,
3/9/1984,,
3/10/1984,,
3/11/1984,,
3/12/1984,,
3/13/1984,,
3/14/1984,,
3/15/1984,,
3/16/1984,,
3/17/1984,,
3/18/1984,,
3/19/1984,,
3/20/1984,,
3/21/1984,,
3/22/1984,,
3/23/1984,,
3/24/1984,,
3/25/1984,,
3/26/1984,,
3/27/1984,,
3/28/1984,,
3/29/1984,,
3/30/1984,,
3/31/1984,,
4/1/1984,,
4/2/1984,,
4/3/1984,,
4/4/1984,,
4/5/1984,,
4/6/1984,,
4/7/1984,,
4/8/1984,,
4/9/1984,,
4/10/1984,,
4/11/1984,,
4/12/1984,,
4/13/1984,,
4/14/1984,,
4/15/1984,,
4/16/1984,,
4/17/1984,,
4/18/1984,,
4/19/1984,,
4/20/1984,,
4/21/1984,,
4/22/1984,,
4/23/1984,,
4/24/1984,,
4/25/1984,,
4/26/1984,,
4/27/1984,,
4/28/1984,,
4/29/1984,,
4/30/1984,,
5/1/1984,,
5/2/1984,,
5/3/1984,,
5/4/1984,,
5/5/1984,,
5/6/1984,,
5/7/1984,,
5/8/1984,,
5/9/1984,,
5/10/1984,,
5/11/1984,,
5/12/1984,,
5/13/1984,,
5/14/1984,,
5/15/1984,,
5/16/1984,,
5/17/1984,,
5/18/1984,,
5/19/1984,,
5/20/1984,,
5/21/1984,,
5/22/1984,,
5/23/1984,,
5/24/1984,,
5/25/1984,,
5/26/1984,,
5/27/1984,,
5/28/1984,,
5/29/1984,,
5/30/1984,,
5/31/1984,,
6/1/1984,,
6/2/1984,,
6/3/1984,,
6/4/1984,,
6/5/1984,,
6/6/1984,,
6/7/1984,,
6/8/1984,,
6/9/1984,,
6/10/1984,,
6/11/1984,,
6/12/1984,,
6/13/1984,,
6/14/1984,,
6/15/1984,,
6/16/1984,,
6/17/1984,,
6/18/1984,,
6/19/1984,,
6/20/1984,,
6/21/1984,,
6/22/1984,,
6/23/1984,,
6/24/1984,,
6/25/1984,,
6/26/1984,,
6/27/1984,,
6/28/1984,,
6/29/1984,,
6/30/1984,,
7/1/1984,,
7/2/1984,,
7/3/1984,,
7/4/1984,,
7/5/1984,,
7/6/1984,,
7/7/1984,,
7/8/1984,,
7/9/1984,,
7/10/1984,,
7/11/1984,,
7/12/1984,,
7/13/1984,,
7/14/1984,,
7/15/1984,,
7/16/1984,,
7/17/1984,,
7/18/1984,,
7/19/1984,,
7/20/1984,,
7/21/1984,,
7/22/1984,,
7/23/1984,,
7/24/1984,,
7/25/1984,,
7/26/1984,,
7/27/1984,,
7/28/1984,,
7/29/1984,,
7/30/1984,,
7/31/1984,,
8/1/1984,,
8/2/1984,,
8/3/1984,,
8/4/1984,,
8/5/1984,,
8/6/1984,,
8/7/1984,,
8/8/1984,,
8/9/1984,,
8/10/1984,,
8/11/1984,,
8/12/1984,,
8/13/1984,,
8/14/1984,,
8/15/1984,,
8/16/1984,,
8/17/1984,,
8/18/1984,,
8/19/1984,,
8/20/1984,,
8/21/1984,,
8/22/1984,,
8/23/1984,,
8/24/1984,,
8/25/1984,,
8/26/1984,,
8/27/1984,,
8/28/1984,,
8/29/1984,,
8/30/1984,,
8/31/1984,,
9/1/1984,,
9/2/1984,,
9/3/1984,,
9/4/1984,,
9/5/1984,,
9/6/1984,,
9/7/1984,,
9/8/1984,,
9/9/1984,,
9/10/1984,,
9/11/1984,,
9/12/1984,,
9/13/1984,,
9/14/1984,,
9/15/1984,,
9/16/1984,,
9/17/1984,,
9/18/1984,,
9/19/1984,,
9/20/1984,,
9/21/1984,,
9/22/1984,,
9/23/1984,,
9/24/1984,,
9/25/1984,,
9/26/1984,,
9/27/1984,,
9/28/1984,,
9/29/1984,,
9/30/1984,,
10/1/1984,,
10/2/1984,,
10/3/1984,,
10/4/1984,,
10/5/1984,,
10/6/1984,,
10/7/1984,,
10/8/1984,,
10/9/1984,,
10/10/1984,,
10/11/1984,,
10/12/1984,,
10/13/1984,,
10/14/1984,,
10/15/1984,,
10/16/1984,,
10/17/1984,,
10/18/1984,,
10/19/1984,,
10/20/1984,,
10/21/1984,,
10/22/1984,,
10/23/1984,,
10/24/1984,,
10/25/1984,,
10/26/1984,,
10/27/1984,,
10/28/1984,,
10/29/1984,,
10/30/1984,,
10/31/1984,,
11/1/1984,,
11/2/1984,,
11/3/1984,,
11/4/1984,,
11/5/1984,,
11/6/1984,,
11/7/1984,,
11/8/1984,,
11/9/1984,,
11/10/1984,,
11/11/1984,,
11/12/1984,,
11/13/1984,,
11/14/1984,,
11/15/1984,,
11/16/1984,,
11/17/1984,,
11/18/1984,,
11/19/1984,,
11/20/1984,,
11/21/1984,,
11/22/1984,,
11/23/1984,,
11/24/1984,,
11/25/1984,,
11/26/1984,,
11/27/1984,,
11/28/1984,,
11/29/1984,,
11/30/1984,,
12/1/1984,,
12/2/1984,,
12/3/1984,,
12/4/1984,,
12/5/1984,,
12/6/1984,,
12/7/1984,,
12/8/1984,,
12/9/1984,,
12/10/1984,,
12/11/1984,,
12/12/1984,,
12/13/1984,,
12/14/1984,,
12/15/1984,,
12/16/1984,,
12/17/1984,,
12/18/1984,,
12/19/1984,,
12/20/1984,,
12/21/1984,,
12/22/1984,,
12/23/1984,,
12/24/1984,,
12/25/1984,,
12/26/1984,,
12/27/1984,,
12/28/1984,,
12/29/1984,,
12/30/1984,,
12/31/1984,,
1/1/1985,,
1/2/1985,,
1/3/1985,,
1/4/1985,,
1/5/1985,,
1/6/1985,,
1/7/1985,,
1/8/1985,,
1/9/1985,,
1/10/1985,,
1/11/1985,,
1/12/1985,,
1/13/1985,,
1/14/1985,,
1/15/1985,,
1/16/1985,,
1/17/1985,,
1/18/1985,,
1/19/1985,,
1/20/1985,,
1/21/1985,,
1/22/1985,,
1/23/1985,,
1/24/1985,,
1/25/1985,,
1/26/1985,,
1/27/1985,,
1/28/1985,,
1/29/1985,,
1/30/1985,,
1/31/1985,,
2/1/1985,,
2/2/1985,,
2/3/1985,,
2/4/1985,,
2/5/1985,,
2/6/1985,,
2/7/1985,,
2/8/1985,,
2/9/1985,,
2/10/1985,,
2/11/1985,,
2/12/1985,,
2/13/1985,,
2/14/1985,,
2/15/1985,,
2/16/1985,,
2/17/1985,,
2/18/1985,,
2/19/1985,,
2/20/1985,,
2/21/1985,,
2/22/1985,,
2/23/1985,,
2/24/1985,,
2/25/1985,,
2/26/1985,,
2/27/1985,,
2/28/1985,,
3/1/1985,,
3/2/1985,,
3/3/1985,,
3/4/1985,,
3/5/1985,,
3/6/1985,,
3/7/1985,,
3/8/1985,,
3/9/1985,,
3/10/1985,,
3/11/1985,,
3/12/1985,,
3/13/1985,,
3/14/1985,,
3/15/1985,,
3/16/1985,,
3/17/1985,,
3/18/1985,,
3/19/1985,,
3/20/1985,,
3/21/1985,,
3/22/1985,,
3/23/1985,,
3/24/1985,,
3/25/1985,,
3/26/1985,,
3/27/1985,,
3/28/1985,,
3/29/1985,,
3/30/1985,,
3/31/1985,,
4/1/1985,,
4/2/1985,,
4/3/1985,,
4/4/1985,,
4/5/1985,,
4/6/1985,,
4/7/1985,,
4/8/1985,,
4/9/1985,,
4/10/1985,,
4/11/1985,,
4/12/1985,,
4/13/1985,,
4/14/1985,,
4/15/1985,,
4/16/1985,,
4/17/1985,,
4/18/1985,,
4/19/1985,,
4/20/1985,,
4/21/1985,,
4/22/1985,,
4/23/1985,,
4/24/1985,,
4/25/1985,,
4/26/1985,,
4/27/1985,,
4/28/1985,,
4/29/1985,,
4/30/1985,,
5/1/1985,,
5/2/1985,,
5/3/1985,,
5/4/1985,,
5/5/1985,,
5/6/1985,,
5/7/1985,,
5/8/1985,,
5/9/1985,,
5/10/1985,,
5/11/1985,,
5/12/1985,,
5/13/1985,,
5/14/1985,,
5/15/1985,,
5/16/1985,,
5/17/1985,,
5/18/1985,,
5/19/1985,,
5/20/1985,,
5/21/1985,,
5/22/1985,,
5/23/1985,,
5/24/1985,,
5/25/1985,,
5/26/1985,,
5/27/1985,,
5/28/1985,,
5/29/1985,,
5/30/1985,,
5/31/1985,,
6/1/1985,,
6/2/1985,,
6/3/1985,,
6/4/1985,,
6/5/1985,,
6/6/1985,,
6/7/1985,,
6/8/1985,,
6/9/1985,,
6/10/1985,,
6/11/1985,,
6/12/1985,,
6/13/1985,,
6/14/1985,,
6/15/1985,,
6/16/1985,,
6/17/1985,,
6/18/1985,,
6/19/1985,,
6/20/1985,,
6/21/1985,,
6/22/1985,,
6/23/1985,,
6/24/1985,,
6/25/1985,,
6/26/1985,,
6/27/1985,,
6/28/1985,,
6/29/1985,,
6/30/1985,,
7/1/1985,,
7/2/1985,,
7/3/1985,,
7/4/1985,,
7/5/1985,,
7/6/1985,,
7/7/1985,,
7/8/1985,,
7/9/1985,,
7/10/1985,,
7/11/1985,,
7/12/1985,,
7/13/1985,,
7/14/1985,,
7/15/1985,,
7/16/1985,,
7/17/1985,,
7/18/1985,,
7/19/1985,,
7/20/1985,,
7/21/1985,,
7/22/1985,,
7/23/1985,,
7/24/1985,,
7/25/1985,,
7/26/1985,,
7/27/1985,,
7/28/1985,,
7/29/1985,,
7/30/1985,,
7/31/1985,,
8/1/1985,,
8/2/1985,,
8/3/1985,,
8/4/1985,,
8/5/1985,,
8/6/1985,,
8/7/1985,,
8/8/1985,,
8/9/1985,,
8/10/1985,,
8/11/1985,,
8/12/1985,,
8/13/1985,,
8/14/1985,,
8/15/1985,,
8/16/1985,,
8/17/1985,,
8/18/1985,,
8/19/1985,,
8/20/1985,,
8/21/1985,,
8/22/1985,,
8/23/1985,,
8/24/1985,,
8/25/1985,,
8/26/1985,,
8/27/1985,,
8/28/1985,,
8/29/1985,,
8/30/1985,,
8/31/1985,,
9/1/1985,,
9/2/1985,,
9/3/1985,,
9/4/1985,,
9/5/1985,,
9/6/1985,,
9/7/1985,,
9/8/1985,,
9/9/1985,,
9/10/1985,,
9/11/1985,,
9/12/1985,,
9/13/1985,,
9/14/1985,,
9/15/1985,,
9/16/1985,,
9/17/1985,,
9/18/1985,,
9/19/1985,,
9/20/1985,,
9/21/1985,,
9/22/1985,,
9/23/1985,,
9/24/1985,,
9/25/1985,,
9/26/1985,,
9/27/1985,,
9/28/1985,,
9/29/1985,,
9/30/1985,,
10/1/1985,120,A
10/2/1985,115,A
10/3/1985,110,A
10/4/1985,110,A
10/5/1985,100,A
10/6/1985,100,A
10/7/1985,130,A
10/8/1985,220,A
10/9/1985,230,A
10/10/1985,200,A
10/11/1985,210,A
10/12/1985,210,A
10/13/1985,230,A
10/14/1985,230,A
10/15/1985,220,A
10/16/1985,200,A
10/17/1985,200,A
10/18/1985,190,A
10/19/1985,170,A
10/20/1985,160,A
10/21/1985,150,A
10/22/1985,160,A
10/23/1985,160,A
10/24/1985,150,A
10/25/1985,140,A
10/26/1985,140,A
10/27/1985,140,A
10/28/1985,140,A
10/29/1985,140,A
10/30/1985,150,A
10/31/1985,150,A
11/1/1985,140,A
11/2/1985,150,A
11/3/1985,150,A
11/4/1985,130,A
11/5/1985,150,A
11/6/1985,150,A
11/7/1985,120,A
11/8/1985,130,A
11/9/1985,140,A
11/10/1985,140,A
11/11/1985,140,A
11/12/1985,140,A
11/13/1985,140,A
11/14/1985,130,A
11/15/1985,130,A
11/16/1985,130,A
11/17/1985,140,A
11/18/1985,140,A
11/19/1985,130,A
11/20/1985,110,A
11/21/1985,130,A
11/22/1985,120,A
11/23/1985,130,A
11/24/1985,140,A
11/25/1985,140,A
11/26/1985,140,A
11/27/1985,130,A
11/28/1985,130,A
11/29/1985,130,A
11/30/1985,130,A
12/1/1985,130,A
12/2/1985,120,A
12/3/1985,120,A
12/4/1985,120,A
12/5/1985,120,A
12/6/1985,120,A
12/7/1985,120,A
12/8/1985,120,A
12/9/1985,120,A
12/10/1985,110,A
12/11/1985,100,A
12/12/1985,100,A
12/13/1985,110,A
12/14/1985,110,A
12/15/1985,110,A
12/16/1985,110,A
12/17/1985,110,A
12/18/1985,110,A
12/19/1985,110,A
12/20/1985,110,A
12/21/1985,110,A
12/22/1985,100,A
12/23/1985,100,A
12/24/1985,110,A
12/25/1985,110,A
12/26/1985,110,A
12/27/1985,110,A
12/28/1985,110,A
12/29/1985,110,A
12/30/1985,110,A
12/31/1985,110,A
1/1/1986,110,A
1/2/1986,110,A
1/3/1986,110,A
1/4/1986,110,A
1/5/1986,100,A
1/6/1986,110,A
1/7/1986,96,A
1/8/1986,90,A
1/9/1986,100,A
1/10/1986,105,A
1/11/1986,110,A
1/12/1986,110,A
1/13/1986,110,A
1/14/1986,110,A
1/15/1986,110,A
1/16/1986,110,A
1/17/1986,110,A
1/18/1986,110,A
1/19/1986,110,A
1/20/1986,110,A
1/21/1986,110,A
1/22/1986,110,A
1/23/1986,110,A
1/24/1986,110,A
1/25/1986,100,A
1/26/1986,100,A
1/27/1986,110,A
1/28/1986,110,A
1/29/1986,110,A
1/30/1986,110,A
1/31/1986,110,A
2/1/1986,110,A
2/2/1986,110,A
2/3/1986,110,A
2/4/1986,110,A
2/5/1986,110,A
2/6/1986,110,A
2/7/1986,110,A
2/8/1986,110,A
2/9/1986,110,A
2/10/1986,96,A
2/11/1986,100,A
2/12/1986,110,A
2/13/1986,110,A
2/14/1986,110,A
2/15/1986,120,A
2/16/1986,110,A
2/17/1986,110,A
2/18/1986,120,A
2/19/1986,130,A
2/20/1986,150,A
2/21/1986,140,A
2/22/1986,130,A
2/23/1986,130,A
2/24/1986,140,A
2/25/1986,150,A
2/26/1986,170,A
2/27/1986,190,A
2/28/1986,200,A
3/1/1986,190,A
3/2/1986,180,A
3/3/1986,170,A
3/4/1986,170,A
3/5/1986,180,A
3/6/1986,190,A
3/7/1986,200,A
3/8/1986,220,A
3/9/1986,250,A
3/10/1986,200,A
3/11/1986,180,A
3/12/1986,160,A
3/13/1986,122,A
3/14/1986,155,A
3/15/1986,157,A
3/16/1986,150,A
3/17/1986,157,A
3/18/1986,150,A
3/19/1986,122,A
3/20/1986,140,A
3/21/1986,138,A
3/22/1986,157,A
3/23/1986,183,A
3/24/1986,216,A
3/25/1986,220,A
3/26/1986,225,A
3/27/1986,219,A
3/28/1986,279,A
3/29/1986,313,A
3/30/1986,329,A
3/31/1986,536,A
4/1/1986,720,A
4/2/1986,700,A
4/3/1986,450,A
4/4/1986,330,A
4/5/1986,280,A
4/6/1986,290,A
4/7/1986,230,A
4/8/1986,370,A
4/9/1986,400,A
4/10/1986,425,A
4/11/1986,403,A
4/12/1986,390,A
4/13/1986,449,A
4/14/1986,381,A
4/15/1986,420,A
4/16/1986,435,A
4/17/1986,450,A
4/18/1986,463,A
4/19/1986,421,A
4/20/1986,417,A
4/21/1986,386,A
4/22/1986,500,A
4/23/1986,740,A
4/24/1986,806,A
4/25/1986,770,A
4/26/1986,732,A
4/27/1986,584,A
4/28/1986,630,A
4/29/1986,670,A
4/30/1986,780,A
5/1/1986,960,A
5/2/1986,1100,A
5/3/1986,1380,A
5/4/1986,1620,A
5/5/1986,1400,A
5/6/1986,1100,A
5/7/1986,1050,A
5/8/1986,857,A
5/9/1986,760,A
5/10/1986,701,A
5/11/1986,741,A
5/12/1986,764,A
5/13/1986,730,A
5/14/1986,737,A
5/15/1986,795,A
5/16/1986,958,A
5/17/1986,938,A
5/18/1986,890,A
5/19/1986,838,A
5/20/1986,961,A
5/21/1986,1190,A
5/22/1986,1430,A
5/23/1986,1490,A
5/24/1986,1520,A
5/25/1986,1470,A
5/26/1986,1780,A
5/27/1986,1950,A
5/28/1986,2030,A
5/29/1986,2030,A
5/30/1986,1850,A
5/31/1986,1730,A
6/1/1986,1790,A
6/2/1986,1700,A
6/3/1986,1740,A
6/4/1986,2230,A
6/5/1986,2430,A
6/6/1986,2240,A
6/7/1986,2280,A
6/8/1986,2070,A
6/9/1986,1830,A
6/10/1986,1540,A
6/11/1986,1290,A
6/12/1986,1220,A
6/13/1986,1170,A
6/14/1986,1130,A
6/15/1986,1000,A
6/16/1986,1010,A
6/17/1986,958,A
6/18/1986,864,A
6/19/1986,813,A
6/20/1986,746,A
6/21/1986,679,A
6/22/1986,596,A
6/23/1986,553,A
6/24/1986,458,A
6/25/1986,483,A
6/26/1986,546,A
6/27/1986,448,A
6/28/1986,426,A
6/29/1986,451,A
6/30/1986,412,A
7/1/1986,388,A
7/2/1986,355,A
7/3/1986,327,A
7/4/1986,311,A
7/5/1986,395,A
7/6/1986,507,A
7/7/1986,383,A
7/8/1986,357,A
7/9/1986,331,A
7/10/1986,324,A
7/11/1986,271,A
7/12/1986,247,A
7/13/1986,220,A
7/14/1986,196,A
7/15/1986,191,A
7/16/1986,219,A
7/17/1986,211,A
7/18/1986,197,A
7/19/1986,314,A
7/20/1986,219,A
7/21/1986,186,A
7/22/1986,182,A
7/23/1986,190,A
7/24/1986,175,A
7/25/1986,193,A
7/26/1986,195,A
7/27/1986,181,A
7/28/1986,167,A
7/29/1986,165,A
7/30/1986,166,A
7/31/1986,162,A
8/1/1986,157,A
8/2/1986,156,A
8/3/1986,154,A
8/4/1986,156,A
8/5/1986,156,A
8/6/1986,164,A
8/7/1986,164,A
8/8/1986,159,A
8/9/1986,157,A
8/10/1986,155,A
8/11/1986,150,A
8/12/1986,148,A
8/13/1986,180,A
8/14/1986,162,A
8/15/1986,156,A
8/16/1986,151,A
8/17/1986,150,A
8/18/1986,143,A
8/19/1986,137,A
8/20/1986,135,A
8/21/1986,151,A
8/22/1986,160,A
8/23/1986,160,A
8/24/1986,153,A
8/25/1986,159,A
8/26/1986,160,A
8/27/1986,144,A
8/28/1986,141,A
8/29/1986,157,A
8/30/1986,161,A
8/31/1986,153,A
9/1/1986,163,A
9/2/1986,157,A
9/3/1986,180,A
9/4/1986,162,A
9/5/1986,156,A
9/6/1986,158,A
9/7/1986,156,A
9/8/1986,185,A
9/9/1986,191,A
9/10/1986,232,A
9/11/1986,269,A
9/12/1986,241,A
9/13/1986,224,A
9/14/1986,217,A
9/15/1986,205,A
9/16/1986,203,A
9/17/1986,192,A
9/18/1986,183,A
9/19/1986,192,A
9/20/1986,190,A
9/21/1986,182,A
9/22/1986,183,A
9/23/1986,300,A
9/24/1986,463,A
9/25/1986,386,A
9/26/1986,394,A
9/27/1986,322,A
9/28/1986,401,A
9/29/1986,391,A
9/30/1986,347,A
10/1/1986,347,A
10/2/1986,332,A
10/3/1986,364,A
10/4/1986,320,A
10/5/1986,294,A
10/6/1986,280,A
10/7/1986,269,A
10/8/1986,264,A
10/9/1986,258,A
10/10/1986,255,A
10/11/1986,290,A
10/12/1986,304,A
10/13/1986,272,A
10/14/1986,274,A
10/15/1986,265,A
10/16/1986,251,A
10/17/1986,235,A
10/18/1986,234,A
10/19/1986,233,A
10/20/1986,231,A
10/21/1986,235,A
10/22/1986,245,A
10/23/1986,239,A
10/24/1986,228,A
10/25/1986,224,A
10/26/1986,217,A
